tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
133,100.000000,136.780194,0.027173,0.050000,0.231204,0.250000,5.000000,47500.0000,0.007158,0.939915,0.955665,6.955408,0.001653,-0.000000,1518
134,100.000000,136.780194,0.049597,0.050000,0.264582,0.250000,5.000000,47500.0000,0.011651,0.936049,1.565988,8.006789,0.002367,0.131068,1518
135,100.000000,136.780194,0.085570,0.050000,0.302779,0.250000,4.750000,45000.0000,0.017954,0.929894,2.430527,9.524823,0.003211,0.009050,1518
136,100.000000,136.780194,0.140497,0.050000,0.346489,0.250000,4.750000,45000.0000,0.026370,0.933502,3.597373,9.587898,0.004153,0.018333,1518
137,100.000000,136.780194,0.220829,0.050000,0.396510,0.250000,4.250000,40000.0000,0.037136,0.925968,5.107533,11.600006,0.005152,0.006733,1518
138,100.000000,136.780194,0.333985,0.050000,0.453753,0.250000,3.750000,35000.0000,0.050406,0.931607,6.992250,11.333590,0.006164,0.012514,1518
139,100.000000,136.780194,0.488246,0.050000,0.519259,0.250000,3.750000,35000.0000,0.066240,0.936659,9.271576,11.092044,0.007142,-0.000000,1518
140,100.000000,136.780194,0.692637,0.050000,0.594222,0.250000,3.250000,30000.0000,0.084612,0.931045,11.954170,13.092350,0.008047,0.012307,1518
141,100.000000,136.780194,0.956817,0.050000,0.680006,0.250000,3.250000,30000.0000,0.105420,0.937362,15.038039,12.528591,0.008846,-0.000000,1518
142,100.000000,136.780194,1.290987,0.050000,0.778176,0.250000,2.750000,25000.0000,0.128501,0.932299,18.511896,14.669378,0.009516,0.019240,1518
143,100.000000,136.780194,1.705836,0.050000,0.890517,0.250000,2.750000,25000.0000,0.153649,0.924387,22.356768,17.806897,0.010042,0.006963,1518
144,100.000000,136.780194,2.212505,0.050000,1.019077,0.250000,2.750000,25000.0000,0.180634,0.935220,26.547576,15.951439,0.010420,-0.000000,1518
145,100.000000,136.780194,2.822590,0.050000,1.166196,0.250000,2.250000,20000.0000,0.209214,0.929159,31.054468,18.917909,0.010652,0.012534,1518
