tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
43283,53.819583,43.129476,14.662315,0.069708,0.560634,0.481387,0.481529,21.1828,0.816731,0.815856,10.693873,10.725813,0.013680,0.013704,552
43284,42.816165,46.436349,2.404932,0.021358,0.444668,0.321125,0.321120,1786.7916,0.409970,0.410070,11.099031,11.099584,0.042399,0.042401,1518
43285,71.419586,52.094686,28.619182,0.055273,1.698225,0.443451,0.443840,223.4282,0.840701,0.839447,22.580345,22.698537,0.005878,0.005903,1518
43286,67.557095,91.595114,0.837975,0.048614,0.259972,0.446400,0.525598,0.9083,0.121387,0.086886,6.946496,5.466438,0.013115,0.009638,1035
43287,41.700278,56.157324,0.174118,0.014175,0.156357,0.450762,0.300000,0.2733,0.058397,0.000000,1.922949,0.000000,0.015690,0.000000,552
43288,53.460229,59.757562,1.389146,0.057413,0.499978,0.202118,0.202125,1.1566,0.306122,0.306434,13.262548,13.268258,0.045921,0.045938,391
43289,27.321105,26.690754,6.724884,0.069046,0.989851,0.531575,0.531734,0.0064,0.669234,0.669197,9.853099,9.853379,0.025087,0.025103,552
43290,69.213869,77.588347,7.588141,0.077029,0.734386,0.391881,0.392386,6.1728,0.498507,0.478973,23.662590,23.629873,0.017163,0.017118,552
43291,70.708180,92.881759,16.510199,0.057620,1.604465,0.596675,0.599603,120.1129,0.555400,0.518062,35.385901,35.694341,0.007393,0.007421,1519
43292,43.829499,46.780199,3.551920,0.037533,0.578523,0.328784,0.328782,0.2660,0.480593,0.480745,13.283803,13.284051,0.036354,0.036326,391
43293,59.533423,68.200781,13.265912,0.031321,0.959523,0.679626,0.679723,122.8876,0.569006,0.569138,22.915858,22.914377,0.009915,0.009913,1518
43294,60.522275,64.540033,9.047551,0.042485,0.789919,0.460370,0.460483,1.2411,0.551525,0.551533,21.280118,21.279985,0.015975,0.015975,391
43295,68.978231,55.040263,22.220075,0.036000,0.738657,0.635438,0.635449,1249.0471,0.768853,0.768305,18.051392,18.074911,0.008083,0.008093,552
43296,39.763030,53.987722,0.965565,0.013606,0.209832,0.621960,0.625375,0.1135,0.178541,0.182761,4.755074,4.825320,0.023044,0.023236,713
43297,34.366442,25.189255,14.916023,0.055487,1.852162,0.517347,0.517660,34.1497,0.826196,0.825212,12.003932,12.047516,0.010607,0.010639,713
43298,25.017703,17.788788,7.742291,0.037765,0.628035,0.279975,0.320224,3.1296,0.960353,0.937460,1.696231,2.473002,0.015413,0.019863,713
43299,51.177790,40.947801,21.769647,0.059473,1.701857,0.609969,0.610162,0.0302,0.789681,0.789328,19.258645,19.277387,0.007083,0.007087,392
43300,66.671635,87.332378,8.802545,0.012613,1.342106,0.481654,0.483772,75.1273,0.430760,0.395112,30.348483,29.742212,0.010562,0.010311,713
43301,76.597415,100.262588,8.802435,0.079345,0.640221,0.609544,0.621503,0.3868,0.419176,0.347281,23.947063,22.636027,0.010459,0.009695,392
