tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
1667,47.747409,64.873261,3.316039,0.038505,0.780921,0.464029,0.464108,1.0799,0.319493,0.321639,15.079108,15.121043,0.018253,0.018300,392
1668,69.294662,75.402458,6.770525,0.038710,0.351717,0.537229,0.537538,3.3231,0.474847,0.461276,16.362216,16.317479,0.018034,0.017975,713
1669,65.179172,82.635055,0.346682,0.038714,0.145956,0.408648,0.436453,0.0648,0.079909,0.117177,3.698765,4.901811,0.014597,0.014632,554
1670,69.801961,51.268951,21.800189,0.041936,1.293414,0.228926,0.240576,0.7917,0.936212,0.924529,9.919306,11.359075,0.006876,0.007465,715
1671,39.035313,35.028365,5.769622,0.022067,0.843203,0.213414,0.213429,116.5027,0.772050,0.771803,10.829613,10.835986,0.039495,0.039502,713
1672,68.761583,54.515750,16.160475,0.038135,0.426755,0.356848,0.358762,0.0625,0.881446,0.879298,8.909150,9.028449,0.012373,0.012474,553
1673,65.816629,66.680979,6.924011,0.044734,1.205810,0.195240,0.195271,1.7201,0.617124,0.616275,27.580988,27.598901,0.027045,0.027048,391
1674,29.379886,29.553921,3.966450,0.049742,0.655645,0.382295,0.382421,1.1765,0.595242,0.595231,9.218857,9.218837,0.042610,0.042599,391
1675,43.287985,35.475897,9.046572,0.043020,0.417572,0.319376,0.320857,8.2621,0.875869,0.874135,5.730259,5.788938,0.022930,0.023064,713
1676,50.895651,41.707673,12.411979,0.054102,1.028069,0.253176,0.254002,1.4224,0.868769,0.867290,10.988135,11.077468,0.016297,0.016362,713
1677,49.490854,68.439374,0.046861,0.043802,0.566538,0.186078,0.293558,158.7147,0.019355,0.065765,1.754142,4.818592,0.006793,0.014319,1196
1678,56.360900,42.988839,20.599792,0.048627,1.442930,0.465264,0.465406,668.2947,0.813156,0.812306,18.183114,18.234391,0.008526,0.008548,1679
1679,62.246262,69.268283,9.554602,0.054335,0.729878,0.532734,0.532865,15.0972,0.531821,0.529302,21.147742,21.157986,0.014037,0.014046,874
1680,49.942170,67.525537,2.048686,0.041535,0.916666,0.331793,0.332025,98.5044,0.251156,0.253750,15.231967,15.314357,0.020079,0.020168,874
1681,32.557266,22.874857,10.150587,0.040389,0.438109,0.301984,0.367070,163.6195,0.974668,0.937518,1.273469,2.686166,0.009081,0.015006,1035
1682,46.909114,65.037317,0.083288,0.038087,0.590381,0.203406,0.282047,1644.7164,0.030836,0.071610,2.508951,4.961999,0.009495,0.015353,231
1683,22.877464,28.431807,0.530402,0.050428,0.898956,0.209945,0.210118,1.7335,0.222234,0.223854,6.459775,6.486413,0.065397,0.065592,713
1684,54.309726,47.659486,7.545471,0.020461,0.419287,0.202136,0.203107,9.7148,0.870541,0.868917,7.417898,7.485124,0.029674,0.029782,713
