tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
122,0.993371,1.000000,0.001352,0.052500,0.011390,0.084614,0.095739,143.6943,0.252777,0.129092,0.033887,0.022328,35.631584,-0.267744,230
123,0.992726,1.000000,0.001182,0.052500,0.011390,0.084180,0.098549,176.4625,0.229179,0.105545,0.032107,0.019362,33.977560,-1.500686,230
124,0.992082,1.000000,0.000986,0.052500,0.011390,0.082362,0.100008,240.5891,0.202715,0.085749,0.029883,0.016641,32.364047,1.689395,230
125,0.991438,1.000000,0.000856,0.052500,0.011390,0.082131,0.106190,330.6718,0.181848,0.069782,0.027943,0.014293,30.388109,1.532915,230
126,0.990796,1.000000,0.000726,0.052500,0.011390,0.081380,0.114447,465.9224,0.160734,0.057946,0.025806,0.012497,28.358974,-1.646874,230
127,0.990154,1.000000,0.000622,0.052500,0.011390,0.081101,0.127693,617.9693,0.142369,0.050726,0.023790,0.011495,26.267674,0.588827,230
128,0.989513,1.000000,0.000505,0.052500,0.011390,0.079671,0.141468,766.5954,0.121963,0.049081,0.021368,0.011664,24.048160,0.918611,230
129,0.988873,1.000000,0.000440,0.052500,0.011390,0.080094,0.156754,843.2516,0.108465,0.054513,0.019646,0.013561,22.021431,0.352404,230
130,0.988234,1.000000,0.000362,0.052500,0.011390,0.079366,0.163691,856.2215,0.093005,0.069286,0.017549,0.018012,19.877813,0.385478,230
131,0.987596,1.000000,0.000297,0.052500,0.011390,0.078768,0.164390,829.6915,0.079353,0.096635,0.015574,0.026208,17.796781,-0.816785,230
132,0.986958,1.000000,0.000245,0.052500,0.011390,0.078427,0.161396,2220.0701,0.067749,0.141102,0.013791,0.039865,15.848742,-0.137203,230
133,0.986321,1.000000,0.000200,0.052500,0.011390,0.077993,0.300000,2231.1701,0.057209,0.000000,0.012079,0.000000,13.976790,0.000000,230
134,0.985685,1.000000,0.000155,0.052500,0.011390,0.076883,0.300000,2229.7101,0.046462,0.000000,0.010231,0.000000,12.024684,0.000000,230
135,0.985050,1.000000,0.000129,0.052500,0.011390,0.077029,0.300000,2237.4901,0.039599,0.000000,0.008986,0.000000,10.554465,0.000000,230
136,0.984416,1.000000,0.000100,0.052500,0.011390,0.076251,0.300000,2233.8301,0.031976,0.000000,0.007536,0.000000,8.953900,0.000000,230
137,0.983782,1.000000,0.000084,0.052500,0.011390,0.076617,0.300000,2234.4701,0.027281,0.000000,0.006601,0.000000,7.815664,0.000000,230
138,0.983150,1.000000,0.000068,0.052500,0.011390,0.076553,0.300000,50.6701,0.022605,0.000000,0.005635,0.000000,6.685438,0.000000,230
139,0.926544,1.000000,0.000081,0.052500,0.011390,0.294933,0.300000,319.3911,0.008446,0.000000,0.002273,0.000000,0.788261,0.000000,230
140,1.042836,1.000000,0.043595,0.052500,0.014128,0.132975,0.249696,275.0708,0.996621,0.821511,0.001262,0.032354,0.617766,1.263553,230
141,1.034369,1.000000,0.035284,0.052500,0.014128,0.148810,0.242912,276.7816,0.975074,0.736272,0.007168,0.040171,3.186476,1.519148,230
142,1.032972,1.000000,0.033912,0.052500,0.014128,0.147296,0.232547,250.9666,0.971543,0.739682,0.007996,0.039850,3.600833,1.828318,230
143,1.029494,1.000000,0.030525,0.052500,0.014128,0.144329,0.207371,227.9357,0.959608,0.750232,0.010629,0.038865,4.918029,-1.247179,230
144,1.026039,1.000000,0.027128,0.052500,0.014128,0.135833,0.181033,197.6072,0.950134,0.765953,0.012551,0.037392,6.212545,-0.012117,230
145,1.024664,1.000000,0.025764,0.052500,0.014128,0.131261,0.170034,187.5227,0.947056,0.774481,0.013146,0.036574,6.751620,0.600008,230
146,1.023292,1.000000,0.024444,0.052500,0.014128,0.129421,0.160301,137.2776,0.939746,0.783981,0.014537,0.035636,7.592479,1.280868,230
147,1.022607,1.000000,0.023880,0.052500,0.014128,0.134158,0.158578,118.7243,0.927360,0.787651,0.016791,0.035259,8.471137,1.624654,230
148,1.020559,1.000000,0.021889,0.052500,0.014128,0.128425,0.143533,101.2611,0.917645,0.807798,0.018433,0.033152,9.754061,-1.111404,230
149,1.019199,1.000000,0.020580,0.052500,0.014128,0.124970,0.134209,87.1781,0.909484,0.825020,0.019756,0.031227,10.772025,-0.170633,230
150,1.018520,1.000000,0.020047,0.052500,0.014128,0.128774,0.134313,73.0891,0.895255,0.830699,0.021975,0.030556,11.643141,0.292725,230
151,1.017842,1.000000,0.019334,0.052500,0.014128,0.123979,0.129360,59.0358,0.895757,0.830864,0.021884,0.030517,12.059556,0.751155,230
152,1.017164,1.000000,0.018716,0.052500,0.014128,0.123348,0.127886,46.8484,0.888520,0.827611,0.022953,0.030870,12.730019,1.222341,230
153,1.016488,1.000000,0.018185,0.052500,0.014128,0.126070,0.158009,35.4542,0.874582,0.655673,0.024930,0.044482,13.546019,0.011353,230
154,1.015813,1.000000,0.017694,0.052500,0.014128,0.129714,0.157221,26.5215,0.858449,0.653707,0.027076,0.044547,14.317926,0.253906,230
155,1.015138,1.000000,0.016879,0.052500,0.014128,0.120931,0.148609,19.1030,0.865214,0.654099,0.026169,0.044499,14.863397,0.651651,230
156,1.014464,1.000000,0.016271,0.052500,0.014128,0.119870,0.144967,13.2194,0.857038,0.652900,0.027222,0.044526,15.618905,0.989428,230
157,1.013792,1.000000,0.015650,0.052500,0.014128,0.118180,0.140974,8.4237,0.849652,0.651752,0.028140,0.044551,16.397864,1.360613,230
158,1.013120,1.000000,0.015116,0.052500,0.014128,0.119299,0.139060,688.3437,0.836114,0.649788,0.029762,0.044613,17.203209,1.714439,552
159,1.012449,1.000000,0.014391,0.052500,0.014128,0.113778,0.132530,4.9810,0.835578,0.649392,0.029805,0.044602,18.088280,-1.788625,230
160,1.011110,1.000000,0.013320,0.052500,0.014128,0.114746,0.128474,2.7684,0.808198,0.644923,0.032803,0.044746,19.792010,-0.910056,230
161,1.010442,1.000000,0.012743,0.052500,0.014128,0.113524,0.125396,1.0176,0.797157,0.642853,0.033910,0.044808,20.707620,-0.380267,230
162,1.009774,1.000000,0.012180,0.052500,0.014128,0.112503,0.122629,0.5335,0.785097,0.640464,0.035061,0.044882,21.633134,0.189080,230
163,1.009108,1.000000,0.011571,0.052500,0.014128,0.110006,0.118724,941.0217,0.775368,0.638371,0.035940,0.044942,22.708649,0.860483,391
164,1.008442,1.000000,0.010996,0.052500,0.014128,0.108285,0.115594,852.5146,0.763374,0.635699,0.036975,0.045025,23.765719,1.571264,391
165,1.007777,1.000000,0.010468,0.052500,0.014128,0.107609,0.113513,630.4229,0.748594,0.632239,0.038179,0.045137,24.726107,-1.694534,391
166,1.007113,1.000000,0.009941,0.052500,0.014128,0.106698,0.111383,0.1892,0.733595,0.628429,0.039315,0.045259,25.713069,-0.880516,230
167,1.006450,1.000000,0.009460,0.052500,0.014128,0.106701,0.110246,0.1037,0.716264,0.623681,0.040528,0.045412,26.540635,-0.042350,230
168,1.005788,1.000000,0.008954,0.052500,0.014128,0.105792,0.108444,8.5455,0.699947,0.618740,0.041570,0.045564,27.493213,0.932713,230
169,1.005127,1.000000,0.008462,0.052500,0.014128,0.104956,0.106866,0.0695,0.682823,0.613061,0.042565,0.045734,28.413073,-1.998237,230
170,1.004466,1.000000,0.007970,0.052500,0.014128,0.103874,0.105196,0.1168,0.665382,0.606682,0.043477,0.045917,29.362506,-0.791717,230
171,1.003807,1.000000,0.007505,0.052500,0.014128,0.103143,0.103985,1.0927,0.646752,0.599175,0.044342,0.046120,30.198418,0.508969,230
172,1.003148,1.000000,0.007047,0.052500,0.014128,0.102295,0.102793,3.7923,0.627638,0.590582,0.045113,0.046336,31.018869,1.965747,230
173,1.002490,1.000000,0.006597,0.052500,0.014128,0.101325,0.101602,451.9960,0.608011,0.580707,0.045784,0.046560,31.823622,-0.399048,391
174,1.001834,1.000000,0.006166,0.052500,0.014128,0.100511,0.100613,387.7287,0.587607,0.569211,0.046356,0.046789,32.524720,1.399358,391
175,1.001177,1.000000,0.005796,0.052500,0.014128,0.100676,0.100729,308.8009,0.566042,0.555396,0.046823,0.047016,32.841578,-0.821400,391
176,1.000522,1.000000,0.005334,0.052500,0.014128,0.098595,0.098614,244.2046,0.545264,0.540289,0.047138,0.047201,33.804685,1.678094,391
177,0.999868,1.000000,0.004944,0.052500,0.014128,0.097754,0.097744,10.6156,0.523235,0.522066,0.047333,0.047340,34.280876,0.144916,230
178,0.999214,1.000000,0.004582,0.052500,0.014128,0.097161,0.098016,151.0811,0.500777,0.500723,0.047382,0.047382,34.571250,-1.250639,391
179,0.998562,1.000000,0.004193,0.052500,0.014128,0.095704,0.095697,92.3904,0.477816,0.475681,0.047278,0.047263,35.066295,1.914769,391
180,0.997910,1.000000,0.003890,0.052500,0.014128,0.095725,0.095737,55.3899,0.455013,0.446930,0.047019,0.046900,34.912076,0.594581,391
