tick,S,K,moneyness_SK,moneyness_KS,T,r,true_iv,fpga_iv,abs_err,true_delta,fpga_delta,delta_err,true_vega,fpga_vega,vega_err,true_gamma,fpga_gamma,gamma_err,is_liquid
123,71.5165,73.0580,0.9789,1.0216,0.9564,0.0484,0.546033,0.546153,0.000120,0.623147,0.621185,0.001962,26.561884,26.604266,0.042382,0.009945,0.009958,0.000013,1
124,31.9810,35.7700,0.8941,1.1185,0.5148,0.0240,0.453647,0.453642,0.000005,0.443030,0.443189,0.000159,9.060937,9.061418,0.000481,0.037933,0.037935,0.000002,1
125,66.2081,77.6364,0.8528,1.1726,1.4081,0.0347,0.361188,0.361561,0.000373,0.482812,0.465079,0.017733,31.313192,31.222069,0.091122,0.014046,0.013991,0.000055,1
126,72.3075,63.1907,1.1443,0.8739,1.1787,0.0248,0.237112,0.237246,0.000134,0.778050,0.786796,0.008746,23.361473,22.825287,0.536186,0.015988,0.015620,0.000368,1
127,39.4153,49.4884,0.7965,1.2556,0.8559,0.0510,0.278581,0.278636,0.000056,0.279330,0.280685,0.001355,12.261056,12.289591,0.028535,0.033098,0.033167,0.000069,0
128,44.8610,62.1058,0.7223,1.3844,0.2877,0.0403,0.233999,0.379729,0.145729,0.007417,0.077353,0.069936,0.493460,3.506045,3.012585,0.003642,0.016054,0.012412,0
129,24.4093,29.9357,0.8154,1.2264,1.3289,0.0445,0.466013,0.466121,0.000108,0.499485,0.500039,0.000553,11.225575,11.225610,0.000034,0.030424,0.030417,0.000007,0
130,48.2723,40.8639,1.1813,0.8465,1.3074,0.0265,0.306120,0.306140,0.000019,0.773421,0.773054,0.000367,16.619325,16.634183,0.014858,0.017820,0.017833,0.000013,0
131,25.0575,19.0273,1.3169,0.7593,1.1112,0.0494,0.509984,0.510093,0.000108,0.811371,0.810451,0.000920,7.135805,7.157277,0.021472,0.020056,0.020111,0.000055,0
132,42.1326,54.5888,0.7718,1.2956,1.3381,0.0363,0.262760,0.262809,0.000050,0.294474,0.296191,0.001717,16.802356,16.847030,0.044674,0.026920,0.026986,0.000065,0
133,73.1297,62.4203,1.1716,0.8536,1.2294,0.0484,0.236587,0.237008,0.000421,0.831823,0.839946,0.008123,20.377434,19.735299,0.642135,0.013100,0.012667,0.000433,0
134,75.9185,102.5296,0.7405,1.3505,0.7009,0.0273,0.337396,0.365940,0.028544,0.196357,0.129953,0.066405,17.598151,13.448106,4.150046,0.012911,0.009009,0.003901,0
135,52.3997,49.0224,1.0689,0.9355,0.1593,0.0501,0.265738,0.265767,0.000028,0.775341,0.774271,0.001070,6.266199,6.282973,0.016774,0.053924,0.053796,0.000129,1
136,62.3701,77.9446,0.8002,1.2497,1.2953,0.0339,0.317620,0.318131,0.000511,0.376586,0.355765,0.020820,26.952036,26.446150,0.505886,0.016841,0.016499,0.000342,0
137,25.7863,22.3246,1.1551,0.8658,0.4510,0.0418,0.239114,0.239886,0.000772,0.863352,0.861963,0.001389,3.791221,3.818578,0.027357,0.052872,0.053019,0.000147,0
138,36.9945,51.6098,0.7168,1.3951,0.3799,0.0217,0.232327,0.322071,0.089744,0.014056,0.097569,0.083513,0.816575,3.937914,3.121339,0.006759,0.020513,0.013754,0
139,73.4922,54.6333,1.3452,0.7434,0.2589,0.0213,0.254202,0.360733,0.106530,0.991803,0.929433,0.062370,0.837391,5.092877,4.255486,0.002356,0.008527,0.006171,0
140,49.2392,68.1396,0.7226,1.3838,1.2424,0.0369,0.389143,0.389204,0.000061,0.334868,0.337338,0.002470,19.992104,20.049129,0.057026,0.017055,0.017099,0.000044,0
141,50.4898,60.2966,0.8374,1.1942,0.2166,0.0307,0.384162,0.384886,0.000724,0.193149,0.194410,0.001261,6.440463,6.466066,0.025604,0.030369,0.030434,0.000065,0
142,24.4093,27.7299,0.8803,1.1360,0.6653,0.0545,0.274052,0.274057,0.000005,0.383407,0.383766,0.000359,7.600932,7.602962,0.002030,0.069973,0.069975,0.000002,1
143,37.8314,38.1651,0.9913,1.0088,1.4043,0.0392,0.517113,0.517216,0.000102,0.648718,0.648707,0.000011,16.627758,16.627694,0.000064,0.015998,0.015997,0.000001,1
